"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Susd6","GSM2545354",5542,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,217684,"sushi domain containing 6, transcript variant 1","ENSMUSG00000021133","4933426M11Rik","12","protein_coding","decreased body weight","SUSD6"
"Spp2","GSM2545338",6,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",10,75396,"secreted phosphoprotein 2, transcript variant X1","ENSMUSG00000026295","0610038O04Rik","1","protein_coding",NA,"SPP2"
"Sin3b","GSM2545363",2255,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,20467,"transcriptional regulator, SIN3B (yeast), transcript variant 1","ENSMUSG00000031622","2810430C10Rik","8","protein_coding","abnormal bone mineralization","SIN3B"
"Eef1b2","GSM2545336",4522,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,55949,"eukaryotic translation elongation factor 1 beta 2","ENSMUSG00000025967","2810017J07Rik","1","protein_coding","abnormal bone structure","EEF1B2"
"Plod1","GSM2545347",766,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,18822,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1","ENSMUSG00000019055","2410042F05Rik","4","protein_coding","decreased bone mineral density","PLOD1"
"Dnm3os","GSM2545363",9,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",12,474332,"dynamin 3, opposite strand","ENSMUSG00000078190","6030416H16Rik","1","lncRNA","abnormal bone ossification",NA
"Tmem91","GSM2545345",53,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",4,"Cerebellum",13,320208,"transmembrane protein 91, transcript variant X1","ENSMUSG00000061702","A830041P22Rik","7","protein_coding",NA,"TMEM91"
"Eps8l1","GSM2545347",233,"Mus musculus",8,"Male","InfluenzaA","C57BL/6",8,"Cerebellum",24,67425,"EPS8-like 1, transcript variant X8","ENSMUSG00000006154","2310051G19Rik","7","protein_coding","decreased pulmonary ventilation","EPS8L1"
"Arc","GSM2545336",731,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum",14,11838,"activity regulated cytoskeletal-associated protein, transcript variant 2","ENSMUSG00000022602","Arc3.1","15","protein_coding","abnormal AMPA-mediated synaptic currents","ARC"
"Slc14a1","GSM2545354",1495,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,108052,"solute carrier family 14 (urea transporter), member 1, transcript variant 3","ENSMUSG00000059336","2610507K20Rik","18","protein_coding","abnormal Sertoli cell development","SLC14A1"
"Sord","GSM2545337",655,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,20322,"sorbitol dehydrogenase","ENSMUSG00000027227","Sdh-1","2","protein_coding","abnormal lens morphology","SORD"
"Ube2v2","GSM2545337",1963,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum",9,70620,"ubiquitin-conjugating enzyme E2 variant 2, transcript variant 2","ENSMUSG00000022674","1110021H13Rik","16","protein_coding",NA,"UBE2V2"
"Bves","GSM2545354",8,"Mus musculus",8,"Male","NonInfected","C57BL/6",0,"Cerebellum",2,23828,"blood vessel epicardial substance","ENSMUSG00000071317","Popdc1","10","protein_coding","abnormal skin morphology","BVES"
